SalesOrderID,Customer ID,Item ID, Items in the basket,Total price,multiple size of same item,Multiple color of same item,price,use of discount vouchers,Including freebies with order,payment method,Serial  returner,Return
500000013,100000015,HT-1065,5,810,0,1,54,0,0,1,0,0
500000014,100000016,HT-1066,2,112,0,1,56,1,0,0,0,0
500000014,100000016,HT-1067,2,112,0,1,56,1,0,0,0,0
500000015,100000017,HT-1068,3,600,1,0,200,1,1,1,1,0
500000015,100000017,HT-1069,3,600,1,0,200,1,1,1,1,1
500000015,100000017,HT-1070,3,600,1,0,200,1,1,1,1,1
500000016,100000018,HT-1071,1,43,0,0,43,0,0,0,1,1
500000017,100000019,HT-1072,2,470,1,0,235,0,0,0,1,1
500000017,100000019,HT-1073,2,470,1,0,235,0,0,0,1,1
500000018,100000020,HT-1080,4,485,0,0,45,0,1,1,1,0
500000018,100000020,HT-1081,4,485,0,0,322,0,1,1,1,1
500000018,100000020,HT-1082,4,485,0,0,54,0,1,1,1,0
500000018,100000020,HT-1083,4,485,0,0,64,0,1,1,1,0
500000019,100000021,HT-1085,5,446,1,0,73,0,0,1,0,1
500000019,100000021,HT-1090,5,446,1,0,73,0,0,1,0,0
500000019,100000021,HT-1091,5,446,0,1,100,0,0,1,0,0
500000019,100000021,HT-1092,5,446,0,1,100,0,0,1,0,0
500000019,100000021,HT-1100,5,446,0,1,100,0,0,1,0,0
500000020,100000022,HT-1101,2,112,0,1,56,1,1,0,0,0
500000020,100000022,HT-1102,2,112,0,1,56,1,1,0,0,0
500000021,100000016,HT-1103,3,235,0,1,65,0,0,1,0,0
500000021,100000016,HT-1104,3,235,0,1,70,0,0,1,0,0
500000021,100000016,HT-1105,3,235,0,0,100,0,0,1,0,0
500000022,100000003,HT-1106,2,673,0,0,150,0,0,0,0,0
500000022,100000003,HT-1107,2,673,0,0,523,0,0,0,0,0
500000023,100000020,HT-1110,4,1554,1,0,345,0,0,0,1,1
500000023,100000020,HT-1111,4,1554,1,0,345,0,0,0,1,0
500000023,100000020,HT-1112,4,1554,0,1,432,0,0,0,1,0
500000023,100000020,HT-1113,4,1554,0,1,432,0,0,0,1,0
500000024,100000017,HT-1114,7,2012,1,0,79,1,0,1,1,1
500000024,100000017,HT-1115,7,2012,1,0,79,1,0,1,1,0
500000024,100000017,HT-1116,7,2012,1,0,79,1,0,1,1,1
500000024,100000017,HT-1117,7,2012,1,0,79,1,0,1,1,0
500000024,100000017,HT-1118,7,2012,0,1,563,1,0,1,1,0
500000024,100000017,HT-1120,7,2012,0,1,563,1,0,1,1,0
500000024,100000017,HT-1137,7,2012,0,1,570,1,0,1,1,0
500000025,100000023,HT-1138,6,2378,1,0,457,0,1,1,1,1
500000025,100000023,HT-1210,6,2378,1,0,457,0,1,1,1,1
500000025,100000023,HT-1500,6,2378,1,0,457,0,1,1,1,0
500000025,100000023,HT-1501,6,2378,1,0,457,0,1,1,1,0
500000025,100000023,HT-1502,6,2378,0,1,300,0,1,1,1,1
500000025,100000023,HT-6130,6,2378,0,1,250,0,1,1,1,0
500000026,100000015,HT-6131,3,496,0,0,96,1,0,0,0,0
500000026,100000015,HT-6132,3,496,0,1,200,1,0,0,0,0
500000026,100000015,HT-7030,3,496,0,1,200,1,0,0,0,0
500000027,100000007,HT-7020,4,819,0,1,346,1,0,0,0,0
500000027,100000007,HT-7010,4,819,0,1,346,1,0,0,0,0
500000027,100000007,HT-7000,4,819,0,0,45,1,0,0,0,0
500000027,100000007,HT-1095,4,819,0,0,82,1,0,0,0,0
500000028,100000008,HT-1096,1,567,0,0,567,0,0,1,0,0
500000029,100000010,HT-1097,1,68,0,0,68,0,0,0,0,0
500000030,100000019,HT-6123,7,442,1,0,85,0,0,1,1,1
500000030,100000019,HT-6122,7,442,1,0,85,0,0,1,1,0
500000030,100000019,HT-6121,7,442,1,0,85,0,0,1,1,0
500000030,100000019,HT-6120,7,442,1,0,50,0,0,1,1,0
500000030,100000019,HT-6111,7,442,1,0,50,0,0,1,1,0
500000030,100000019,HT-6110,7,442,1,0,50,0,0,1,1,0
500000030,100000019,HT-6102,7,442,0,0,37,0,0,1,1,0
500000031,100000026,HT-6101,2,1506,0,1,756,1,1,0,0,0
500000031,100000026,HT-2002,2,1506,0,1,750,1,1,0,0,0
500000032,100000035,HT-6100,1,46,0,0,46,0,0,0,0,0
500000033,100000020,HT-2027,5,2043,0,1,524,0,1,1,1,0
500000033,100000020,HT-2026,5,2043,0,1,524,0,1,1,1,0
500000033,100000020,HT-2025,5,2043,0,1,527,0,1,1,1,0
500000033,100000020,HT-2001,5,2043,1,0,234,0,1,1,1,1
500000033,100000020,HT-8000,5,2043,1,0,234,0,1,1,1,0
500000034,100000016,HT-8001,3,475,0,0,345,0,1,1,0,0
500000034,100000016,HT-8002,3,475,0,1,65,0,1,1,0,0
500000034,100000016,HT-8003,3,475,0,1,65,0,1,1,0,0
500000035,100000021,HT-1119,1,457,0,0,457,0,0,1,1,1
