SALESORDERID,SALESORDERITEM,PRODUCTID,GROSSAMOUNT,NETAMOUNT,TAXAMOUNT,ITEMATPSTATUS,QUANTITY,DELIVERYDATE
500000004,50,HT-1104,196.35,165,31.35,I,3,2014-12-04
500000005,10,HT-1500,5950,5000,950,I,1,2014-12-04
500000005,20,HT-1501,3570,3000,570,I,2,2014-12-04
500000005,30,HT-1502,5950,5000,950,I,2,2014-12-04
500000005,40,HT-1110,31.77,26.7,5.07,I,3,2014-12-04
500000005,50,HT-1111,16.42,13.8,2.62,I,2,2014-12-04
500000005,60,HT-1112,92.82,78,14.82,I,2,2014-12-04
500000005,70,HT-1113,8.21,6.9,1.31,I,3,2014-12-04
500000006,10,HT-1105,103.53,87,16.53,I,3,2014-12-04
500000006,20,HT-1106,40.46,34,6.46,I,1,2014-12-04
500000006,30,HT-1107,106.74,89.7,17.04,I,3,2014-12-04
500000007,10,HT-1030,547.4,460,87.4,I,2,2014-12-04
500000007,20,HT-1031,1017.45,855,162.45,I,3,2014-12-04
500000007,30,HT-1032,410.55,345,65.55,I,1,2014-12-04
500000007,40,HT-1035,949.62,798,151.62,I,2,2014-12-04
500000007,50,HT-1036,1023.4,860,163.4,I,2,2014-12-04
500000007,60,HT-1037,1701.7,1430,271.7,I,1,2014-12-04
500000007,70,HT-1000,3412.92,2868,544.92,I,3,2014-12-04
500000007,80,HT-1001,1486.31,1249,237.31,I,1,2014-12-04
500000008,10,HT-1060,21.42,18,3.42,I,2,2014-12-04
500000008,20,HT-1061,16.66,14,2.66,I,2,2014-12-04
500000008,30,HT-1062,26.18,22,4.18,I,2,2014-12-04
500000008,40,HT-1063,49.98,42,7.98,I,3,2014-12-04
500000008,50,HT-1064,19.04,16,3.04,I,1,2014-12-04
500000008,60,HT-1065,61.88,52,9.88,I,2,2014-12-04
500000009,10,HT-1040,1975.4,1660,315.4,I,2,2014-12-04
500000009,20,HT-1041,1166.2,980,186.2,I,2,2014-12-04
500000009,30,HT-1042,830.62,698,132.62,I,2,2014-12-04
500000010,10,HT-1070,168.74,141.8,26.94,I,2,2014-12-04
500000010,20,HT-1071,194.45,163.4,31.05,I,2,2014-12-04
500000010,30,HT-1072,361.28,303.6,57.68,I,3,2014-12-04
500000010,40,HT-1066,5.95,5,0.95,I,2,2014-12-04
500000010,50,HT-1067,8.33,7,1.33,I,2,2014-12-04
500000010,60,HT-1068,4.17,3.5,0.67,I,1,2014-12-04
500000010,70,HT-1069,2856,2400,456,I,3,2014-12-04
500000011,10,HT-1104,65.45,55,10.45,I,1,2014-12-04
500000011,20,HT-1105,103.53,87,16.53,I,3,2014-12-04
500000011,30,HT-1106,121.38,102,19.38,I,3,2014-12-04
500000011,40,HT-1107,35.58,29.9,5.68,I,1,2014-12-04
500000012,10,HT-1000,2275.28,1912,363.28,I,2,2014-12-04
500000012,20,HT-1001,2972.62,2498,474.62,I,2,2014-12-04
500000012,30,HT-1002,3736.6,3140,596.6,I,2,2014-12-04
500000012,40,HT-1003,5890.5,4950,940.5,I,3,2014-12-04
500000012,50,HT-1007,1187.62,998,189.62,I,2,2014-12-04
500000012,60,HT-1010,4757.62,3998,759.62,I,2,2014-12-04
500000012,70,HT-1011,2735.81,2299,436.81,I,1,2014-12-04
500000012,80,HT-1020,307.02,258,49.02,I,2,2014-12-04
500000012,90,HT-1021,531.93,447,84.93,I,3,2014-12-04
500000013,10,HT-1022,243.95,205,38.95,I,1,2014-12-04
500000013,20,HT-1023,853.23,717,136.23,I,3,2014-12-04
500000013,30,HT-1030,547.4,460,87.4,I,2,2014-12-04
500000013,40,HT-1031,678.3,570,108.3,I,2,2014-12-04
500000013,50,HT-1032,1231.65,1035,196.65,I,3,2014-12-04
500000013,60,HT-1035,949.62,798,151.62,I,2,2014-12-04
500000013,70,HT-1036,1023.4,860,163.4,I,2,2014-12-04
500000014,10,HT-1040,987.7,830,157.7,I,1,2014-12-04
500000014,20,HT-1041,1166.2,980,186.2,I,2,2014-12-04
500000014,30,HT-1042,415.31,349,66.31,I,1,2014-12-04
500000014,40,HT-1050,165.41,139,26.41,I,1,2014-12-04
500000014,50,HT-1051,117.81,99,18.81,I,1,2014-12-04
500000014,60,HT-1052,606.9,510,96.9,I,3,2014-12-04
500000015,10,HT-1055,353.43,297,56.43,I,3,2014-12-04
500000015,20,HT-1056,283.22,238,45.22,I,2,2014-12-04
500000015,30,HT-1060,10.71,9,1.71,I,1,2014-12-04
500000015,40,HT-1061,24.99,21,3.99,I,3,2014-12-04
500000015,50,HT-1062,26.18,22,4.18,I,2,2014-12-04
500000015,60,HT-1063,16.66,14,2.66,I,1,2014-12-04
500000015,70,HT-1064,38.08,32,6.08,I,2,2014-12-04
500000015,80,HT-1065,92.82,78,14.82,I,3,2014-12-04
500000015,90,HT-1066,5.95,5,0.95,I,2,2014-12-04
500000016,10,HT-1067,8.33,7,1.33,I,2,2014-12-04
500000016,20,HT-1068,4.17,3.5,0.67,I,1,2014-12-04
500000016,30,HT-1069,1904,1600,304,I,2,2014-12-04
500000017,10,HT-1100,106.98,89.9,17.08,I,1,2014-12-04
500000017,20,HT-1107,71.16,59.8,11.36,I,2,2014-12-04
500000018,10,HT-1100,320.94,269.7,51.24,I,3,2014-12-04
500000018,20,HT-1101,285.24,239.7,45.54,I,3,2014-12-04
500000018,30,HT-1102,82.11,69,13.11,I,1,2014-12-04
500000018,40,HT-1103,183.26,154,29.26,I,2,2014-12-04
500000019,10,HT-1070,253.11,212.7,40.41,I,3,2014-12-04
500000019,20,HT-1071,97.22,81.7,15.52,I,1,2014-12-04
500000019,30,HT-1072,361.28,303.6,57.68,I,3,2014-12-04
500000019,40,HT-1073,28.56,24,4.56,I,1,2014-12-04
500000019,50,HT-1080,182.07,153,29.07,I,3,2014-12-04
500000019,60,HT-1081,105.91,89,16.91,I,1,2014-12-04
500000020,10,HT-1082,402.22,338,64.22,I,2,2014-12-04
500000020,20,HT-1083,1237.6,1040,197.6,I,2,2014-12-04
500000020,30,HT-1085,3567.62,2998,569.62,I,2,2014-12-04
500000020,40,HT-1090,92.82,78,14.82,I,2,2014-12-04
500000020,50,HT-1091,30.94,26,4.94,I,1,2014-12-04
500000020,60,HT-1092,53.55,45,8.55,I,1,2014-12-04
500000020,70,HT-1110,21.18,17.8,3.38,I,2,2014-12-04
500000020,80,HT-1111,24.63,20.7,3.93,I,3,2014-12-04
500000020,90,HT-1112,92.82,78,14.82,I,2,2014-12-04
500000021,10,HT-1113,5.47,4.6,0.87,I,2,2014-12-04
500000021,20,HT-1114,82.11,69,13.11,I,1,2014-12-04
500000021,30,HT-1115,99.96,84,15.96,I,2,2014-12-04
500000022,10,HT-1102,246.33,207,39.33,I,3,2014-12-04
500000022,20,HT-1103,274.89,231,43.89,I,3,2014-12-04
500000023,10,HT-1104,196.35,165,31.35,I,3,2014-12-04
500000023,20,HT-1105,103.53,87,16.53,I,3,2014-12-04
500000023,30,HT-1106,40.46,34,6.46,I,1,2014-12-04
500000023,40,HT-1107,71.16,59.8,11.36,I,2,2014-12-04
500000024,10,HT-1116,128.52,108,20.52,I,3,2014-12-04
500000024,20,HT-1117,135.66,114,21.66,I,3,2014-12-04
500000024,30,HT-1118,282.03,237,45.03,I,3,2014-12-04
500000024,40,HT-1120,928.2,780,148.2,I,3,2014-12-04
500000024,50,HT-1137,2927.4,2460,467.4,I,2,2014-12-04
500000024,60,HT-1138,1441.09,1211,230.09,I,1,2014-12-04
500000024,70,HT-1210,5709.62,4798,911.62,I,2,2014-12-04
500000025,10,HT-1000,1137.64,956,181.64,I,1,2014-12-04
500000025,20,HT-1001,2972.62,2498,474.62,I,2,2014-12-04
500000025,30,HT-1002,3736.6,3140,596.6,I,2,2014-12-04
500000025,40,HT-1003,3927,3300,627,I,2,2014-12-04
500000025,50,HT-1007,1781.43,1497,284.43,I,3,2014-12-04
500000025,60,HT-1010,4757.62,3998,759.62,I,2,2014-12-04
500000025,70,HT-1011,5471.62,4598,873.62,I,2,2014-12-04
500000025,80,HT-1030,547.4,460,87.4,I,2,2014-12-04
500000025,90,HT-1031,1017.45,855,162.45,I,3,2014-12-04
500000025,100,HT-1032,1231.65,1035,196.65,I,3,2014-12-04
500000026,10,HT-1030,547.4,460,87.4,I,2,2014-12-04
500000026,20,HT-1031,339.15,285,54.15,I,1,2014-12-04
500000026,30,HT-1032,821.1,690,131.1,I,2,2014-12-04
500000026,40,HT-1035,949.62,798,151.62,I,2,2014-12-04
500000026,50,HT-1036,1023.4,860,163.4,I,2,2014-12-04
500000026,60,HT-1037,3403.4,2860,543.4,I,2,2014-12-04
500000026,70,HT-1020,460.53,387,73.53,I,3,2014-12-04
500000026,80,HT-1021,531.93,447,84.93,I,3,2014-12-04
500000026,90,HT-1022,487.9,410,77.9,I,2,2014-12-04
500000026,100,HT-1023,853.23,717,136.23,I,3,2014-12-04
500000027,10,HT-1040,2963.1,2490,473.1,I,3,2014-12-04
500000027,20,HT-1041,583.1,490,93.1,I,1,2014-12-04
500000027,30,HT-1042,830.62,698,132.62,I,2,2014-12-04
500000027,40,HT-1050,330.82,278,52.82,I,2,2014-12-04
500000027,50,HT-1051,117.81,99,18.81,I,1,2014-12-04
500000027,60,HT-1052,404.6,340,64.6,I,2,2014-12-04
500000027,70,HT-1055,117.81,99,18.81,I,1,2014-12-04
500000027,80,HT-1056,283.22,238,45.22,I,2,2014-12-04
500000028,10,HT-1073,85.68,72,13.68,I,3,2014-12-04
500000028,20,HT-1080,182.07,153,29.07,I,3,2014-12-04
500000028,30,HT-1081,317.73,267,50.73,I,3,2014-12-04
500000028,40,HT-1082,201.11,169,32.11,I,1,2014-12-04
500000028,50,HT-1083,618.8,520,98.8,I,1,2014-12-04
500000029,10,HT-1100,213.96,179.8,34.16,I,2,2014-12-04
500000029,20,HT-1101,95.08,79.9,15.18,I,1,2014-12-04
500000029,30,HT-1102,164.22,138,26.22,I,2,2014-12-04
500000029,40,HT-1103,91.63,77,14.63,I,1,2014-12-04
500000029,50,HT-1104,196.35,165,31.35,I,3,2014-12-04
500000030,10,HT-1500,5950,5000,950,I,1,2014-12-04
500000030,20,HT-1501,3570,3000,570,I,2,2014-12-04
500000030,30,HT-1502,5950,5000,950,I,2,2014-12-04
500000030,40,HT-1110,31.77,26.7,5.07,I,3,2014-12-04
500000030,50,HT-1111,16.42,13.8,2.62,I,2,2014-12-04
500000030,60,HT-1112,92.82,78,14.82,I,2,2014-12-04
500000030,70,HT-1113,8.21,6.9,1.31,I,3,2014-12-04
500000031,10,HT-1105,103.53,87,16.53,I,3,2014-12-04
500000031,20,HT-1106,40.46,34,6.46,I,1,2014-12-04
500000031,30,HT-1107,106.74,89.7,17.04,I,3,2014-12-04
500000032,10,HT-1030,547.4,460,87.4,I,2,2014-12-04
500000032,20,HT-1031,1017.45,855,162.45,I,3,2014-12-04
500000032,30,HT-1032,410.55,345,65.55,I,1,2014-12-04
500000032,40,HT-1035,949.62,798,151.62,I,2,2014-12-04
500000032,50,HT-1036,1023.4,860,163.4,I,2,2014-12-04
500000032,60,HT-1037,1701.7,1430,271.7,I,1,2014-12-04
500000032,70,HT-1000,3412.92,2868,544.92,I,3,2014-12-04
500000032,80,HT-1001,1486.31,1249,237.31,I,1,2014-12-04
500000033,10,HT-1060,21.42,18,3.42,I,2,2014-12-04
500000033,20,HT-1061,16.66,14,2.66,I,2,2014-12-04
500000033,30,HT-1062,26.18,22,4.18,I,2,2014-12-04
500000033,40,HT-1063,49.98,42,7.98,I,3,2014-12-04
500000033,50,HT-1064,19.04,16,3.04,I,1,2014-12-04
500000033,60,HT-1065,61.88,52,9.88,I,2,2014-12-04
500000034,10,HT-1500,11900,10000,1900,I,2,2014-12-04
500000034,20,HT-1501,3570,3000,570,I,2,2014-12-04
500000034,30,HT-1502,5950,5000,950,I,2,2014-12-04
500000035,10,HT-1085,3567.62,2998,569.62,I,2,2014-12-04
500000035,20,HT-1090,92.82,78,14.82,I,2,2014-12-04
500000035,30,HT-1091,92.82,78,14.82,I,3,2014-12-04
500000035,40,HT-1092,107.1,90,17.1,I,2,2014-12-04
500000035,50,HT-1100,213.96,179.8,34.16,I,2,2014-12-04
500000035,60,HT-1101,95.08,79.9,15.18,I,1,2014-12-04
500000035,70,HT-1102,246.33,207,39.33,I,3,2014-12-04
500000036,10,HT-1104,65.45,55,10.45,I,1,2014-12-04
500000036,20,HT-1105,103.53,87,16.53,I,3,2014-12-04
500000036,30,HT-1106,121.38,102,19.38,I,3,2014-12-04
500000036,40,HT-1107,35.58,29.9,5.68,I,1,2014-12-04
500000037,10,HT-1000,2275.28,1912,363.28,I,2,2014-12-04
500000037,20,HT-1001,2972.62,2498,474.62,I,2,2014-12-04
500000037,30,HT-1002,3736.6,3140,596.6,I,2,2014-12-04
500000037,40,HT-1003,5890.5,4950,940.5,I,3,2014-12-04
500000037,50,HT-1007,1187.62,998,189.62,I,2,2014-12-04
500000037,60,HT-1010,4757.62,3998,759.62,I,2,2014-12-04
500000037,70,HT-1040,987.7,830,157.7,I,1,2014-12-04
500000037,80,HT-1041,1166.2,980,186.2,I,2,2014-12-04
500000037,90,HT-1042,1245.93,1047,198.93,I,3,2014-12-04
500000038,10,HT-1070,84.37,70.9,13.47,I,1,2014-12-04
500000038,20,HT-1071,291.67,245.1,46.57,I,3,2014-12-04
500000038,30,HT-1072,240.86,202.4,38.46,I,2,2014-12-04
500000038,40,HT-1031,678.3,570,108.3,I,2,2014-12-04
500000038,50,HT-1032,1231.65,1035,196.65,I,3,2014-12-04
500000038,60,HT-1035,949.62,798,151.62,I,2,2014-12-04
500000038,70,HT-1036,1023.4,860,163.4,I,2,2014-12-04
500000039,10,HT-1040,987.7,830,157.7,I,1,2014-12-04
500000039,20,HT-1041,1166.2,980,186.2,I,2,2014-12-04
500000039,30,HT-1042,415.31,349,66.31,I,1,2014-12-04
500000039,40,HT-1110,10.59,8.9,1.69,I,1,2014-12-04
500000039,50,HT-1111,8.21,6.9,1.31,I,1,2014-12-04
500000039,60,HT-1112,139.23,117,22.23,I,3,2014-12-04
500000040,10,HT-1113,8.21,6.9,1.31,I,3,2014-12-04
500000040,20,HT-1114,164.22,138,26.22,I,2,2014-12-04
500000040,30,HT-1115,49.98,42,7.98,I,1,2014-12-04
500000040,40,HT-1116,128.52,108,20.52,I,3,2014-12-04
500000040,50,HT-1062,26.18,22,4.18,I,2,2014-12-04
500000040,60,HT-1063,16.66,14,2.66,I,1,2014-12-04
500000040,70,HT-1064,38.08,32,6.08,I,2,2014-12-04
500000040,80,HT-1065,92.82,78,14.82,I,3,2014-12-04
500000040,90,HT-1066,5.95,5,0.95,I,2,2014-12-04
500000041,10,HT-1117,90.44,76,14.44,I,2,2014-12-04
500000041,20,HT-1118,94.01,79,15.01,I,1,2014-12-04
500000041,30,HT-1120,618.8,520,98.8,I,2,2014-12-04
500000042,10,HT-1100,106.98,89.9,17.08,I,1,2014-12-04
500000042,20,HT-1107,71.16,59.8,11.36,I,2,2014-12-04
500000043,10,HT-1100,320.94,269.7,51.24,I,3,2014-12-04
500000043,20,HT-1101,285.24,239.7,45.54,I,3,2014-12-04
500000043,30,HT-1102,82.11,69,13.11,I,1,2014-12-04
500000043,40,HT-1103,183.26,154,29.26,I,2,2014-12-04
500000044,10,HT-1070,253.11,212.7,40.41,I,3,2014-12-04
500000044,20,HT-1071,97.22,81.7,15.52,I,1,2014-12-04
500000044,30,HT-1072,361.28,303.6,57.68,I,3,2014-12-04
500000044,40,HT-1137,4391.1,3690,701.1,I,3,2014-12-04
500000044,50,HT-1138,1441.09,1211,230.09,I,1,2014-12-04
500000045,10,HT-1210,5709.62,4798,911.62,I,2,2014-12-04
500000045,20,HT-1500,11900,10000,1900,I,2,2014-12-04
500000045,30,HT-1501,3570,3000,570,I,2,2014-12-04
500000045,40,HT-1502,5950,5000,950,I,2,2014-12-04
500000045,50,HT-1091,30.94,26,4.94,I,1,2014-12-04
500000045,60,HT-1092,53.55,45,8.55,I,1,2014-12-04
500000045,70,HT-1110,21.18,17.8,3.38,I,2,2014-12-04
500000045,80,HT-1111,24.63,20.7,3.93,I,3,2014-12-04
500000045,90,HT-1112,92.82,78,14.82,I,2,2014-12-04
500000046,10,HT-1063,33.32,28,5.32,I,2,2014-12-04
500000046,20,HT-1064,19.04,16,3.04,I,1,2014-12-04
500000046,30,HT-1065,61.88,52,9.88,I,2,2014-12-04
500000047,10,HT-1102,246.33,207,39.33,I,3,2014-12-04
500000047,20,HT-1103,274.89,231,43.89,I,3,2014-12-04
500000048,10,HT-1104,196.35,165,31.35,I,3,2014-12-04
500000048,20,HT-1105,103.53,87,16.53,I,3,2014-12-04
500000048,30,HT-1106,40.46,34,6.46,I,1,2014-12-04
500000048,40,HT-1107,71.16,59.8,11.36,I,2,2014-12-04
500000049,10,HT-1116,128.52,108,20.52,I,3,2014-12-04
500000049,20,HT-1117,135.66,114,21.66,I,3,2014-12-04
500000049,30,HT-1118,282.03,237,45.03,I,3,2014-12-04
500000049,40,HT-1120,928.2,780,148.2,I,3,2014-12-04
500000049,50,HT-1000,1137.64,956,181.64,I,1,2014-12-04
500000049,60,HT-1001,2972.62,2498,474.62,I,2,2014-12-04
500000049,70,HT-1002,1868.3,1570,298.3,I,1,2014-12-04
500000049,80,HT-1003,3927,3300,627,I,2,2014-12-04
500000050,10,HT-1000,1137.64,956,181.64,I,1,2014-12-04
500000050,20,HT-1001,2972.62,2498,474.62,I,2,2014-12-04
500000050,30,HT-1002,3736.6,3140,596.6,I,2,2014-12-04
500000050,40,HT-1003,3927,3300,627,I,2,2014-12-04
500000050,50,HT-1007,1781.43,1497,284.43,I,3,2014-12-04
500000050,60,HT-1010,4757.62,3998,759.62,I,2,2014-12-04
500000050,70,HT-1011,5471.62,4598,873.62,I,2,2014-12-04
500000050,80,HT-1030,547.4,460,87.4,I,2,2014-12-04
500000050,90,HT-1031,1017.45,855,162.45,I,3,2014-12-04
500000050,100,HT-1032,1231.65,1035,196.65,I,3,2014-12-04
500000051,10,HT-1030,547.4,460,87.4,I,2,2014-12-04
500000051,20,HT-1031,339.15,285,54.15,I,1,2014-12-04
500000051,30,HT-1032,821.1,690,131.1,I,2,2014-12-04
500000051,40,HT-1035,949.62,798,151.62,I,2,2014-12-04
500000051,50,HT-1036,1023.4,860,163.4,I,2,2014-12-04
500000051,60,HT-1037,3403.4,2860,543.4,I,2,2014-12-04
500000051,70,HT-1020,460.53,387,73.53,I,3,2014-12-04
500000051,80,HT-1021,531.93,447,84.93,I,3,2014-12-04
500000051,90,HT-1022,487.9,410,77.9,I,2,2014-12-04
500000051,100,HT-1023,853.23,717,136.23,I,3,2014-12-04
500000052,10,HT-1040,2963.1,2490,473.1,I,3,2014-12-04
500000052,20,HT-1041,583.1,490,93.1,I,1,2014-12-04
500000052,30,HT-1042,830.62,698,132.62,I,2,2014-12-04
500000052,40,HT-1050,330.82,278,52.82,I,2,2014-12-04
500000052,50,HT-1051,117.81,99,18.81,I,1,2014-12-04
500000052,60,HT-1052,404.6,340,64.6,I,2,2014-12-04
500000052,70,HT-1055,117.81,99,18.81,I,1,2014-12-04
500000052,80,HT-1056,283.22,238,45.22,I,2,2014-12-04
500000053,10,HT-1073,85.68,72,13.68,I,3,2014-12-04
500000053,20,HT-1080,182.07,153,29.07,I,3,2014-12-04
500000053,30,HT-1081,317.73,267,50.73,I,3,2014-12-04
500000053,40,HT-1082,201.11,169,32.11,I,1,2014-12-04
500000053,50,HT-1083,618.8,520,98.8,I,1,2014-12-04
500000054,10,HT-1100,213.96,179.8,34.16,I,2,2014-12-04
500000054,20,HT-1101,95.08,79.9,15.18,I,1,2014-12-04
500000054,30,HT-1102,164.22,138,26.22,I,2,2014-12-04
500000054,40,HT-1103,91.63,77,14.63,I,1,2014-12-04
500000054,50,HT-1104,196.35,165,31.35,I,3,2014-12-04
500000055,10,HT-1500,5950,5000,950,I,1,2014-12-04
500000055,20,HT-1501,3570,3000,570,I,2,2014-12-04
500000055,30,HT-1502,5950,5000,950,I,2,2014-12-04
500000055,40,HT-1110,31.77,26.7,5.07,I,3,2014-12-04
500000055,50,HT-1111,16.42,13.8,2.62,I,2,2014-12-04
500000055,60,HT-1112,92.82,78,14.82,I,2,2014-12-04
500000055,70,HT-1113,8.21,6.9,1.31,I,3,2014-12-04
500000056,10,HT-1105,103.53,87,16.53,I,3,2014-12-04
500000056,20,HT-1106,40.46,34,6.46,I,1,2014-12-04
500000056,30,HT-1107,106.74,89.7,17.04,I,3,2014-12-04
500000057,10,HT-1030,547.4,460,87.4,I,2,2014-12-04
500000057,20,HT-1031,1017.45,855,162.45,I,3,2014-12-04
500000057,30,HT-1032,410.55,345,65.55,I,1,2014-12-04
500000057,40,HT-1035,949.62,798,151.62,I,2,2014-12-04
500000057,50,HT-1036,1023.4,860,163.4,I,2,2014-12-04
500000057,60,HT-1037,1701.7,1430,271.7,I,1,2014-12-04
500000057,70,HT-1000,3412.92,2868,544.92,I,3,2014-12-04
500000057,80,HT-1001,1486.31,1249,237.31,I,1,2014-12-04
500000058,10,HT-1060,21.42,18,3.42,I,2,2014-12-04
500000058,20,HT-1061,16.66,14,2.66,I,2,2014-12-04
500000058,30,HT-1062,26.18,22,4.18,I,2,2014-12-04
500000058,40,HT-1063,49.98,42,7.98,I,3,2014-12-04
500000058,50,HT-1064,19.04,16,3.04,I,1,2014-12-04
500000058,60,HT-1065,61.88,52,9.88,I,2,2014-12-04
500000059,10,HT-1040,1975.4,1660,315.4,I,2,2014-12-04
500000059,20,HT-1041,1166.2,980,186.2,I,2,2014-12-04
500000059,30,HT-1042,830.62,698,132.62,I,2,2014-12-04
500000060,10,HT-1070,168.74,141.8,26.94,I,2,2014-12-04
500000060,20,HT-1071,194.45,163.4,31.05,I,2,2014-12-04
500000060,30,HT-1072,361.28,303.6,57.68,I,3,2014-12-04
500000060,40,HT-1066,5.95,5,0.95,I,2,2014-12-04
500000060,50,HT-1067,8.33,7,1.33,I,2,2014-12-04
500000060,60,HT-1068,4.17,3.5,0.67,I,1,2014-12-04
500000060,70,HT-1069,2856,2400,456,I,3,2014-12-04
500000061,10,HT-1104,65.45,55,10.45,I,1,2014-12-04
500000061,20,HT-1105,103.53,87,16.53,I,3,2014-12-04
500000061,30,HT-1106,121.38,102,19.38,I,3,2014-12-04
500000061,40,HT-1107,35.58,29.9,5.68,I,1,2014-12-04
500000062,10,HT-1000,2275.28,1912,363.28,I,2,2014-12-04
500000062,20,HT-1001,2972.62,2498,474.62,I,2,2014-12-04
500000062,30,HT-1002,3736.6,3140,596.6,I,2,2014-12-04
500000062,40,HT-1003,5890.5,4950,940.5,I,3,2014-12-04
500000062,50,HT-1007,1187.62,998,189.62,I,2,2014-12-04
500000062,60,HT-1010,4757.62,3998,759.62,I,2,2014-12-04
500000062,70,HT-1011,2735.81,2299,436.81,I,1,2014-12-04
500000062,80,HT-1020,307.02,258,49.02,I,2,2014-12-04
500000062,90,HT-1021,531.93,447,84.93,I,3,2014-12-04
500000063,10,HT-1022,243.95,205,38.95,I,1,2014-12-04
500000063,20,HT-1023,853.23,717,136.23,I,3,2014-12-04
500000063,30,HT-1030,547.4,460,87.4,I,2,2014-12-04
500000063,40,HT-1031,678.3,570,108.3,I,2,2014-12-04
500000063,50,HT-1032,1231.65,1035,196.65,I,3,2014-12-04
500000063,60,HT-1035,949.62,798,151.62,I,2,2014-12-04
500000063,70,HT-1036,1023.4,860,163.4,I,2,2014-12-04
500000064,10,HT-1040,987.7,830,157.7,I,1,2014-12-04
500000064,20,HT-1041,1166.2,980,186.2,I,2,2014-12-04
500000064,30,HT-1042,415.31,349,66.31,I,1,2014-12-04
500000064,40,HT-1050,165.41,139,26.41,I,1,2014-12-04
500000064,50,HT-1051,117.81,99,18.81,I,1,2014-12-04
500000064,60,HT-1052,606.9,510,96.9,I,3,2014-12-04
500000065,10,HT-1055,353.43,297,56.43,I,3,2014-12-04
500000065,20,HT-1056,283.22,238,45.22,I,2,2014-12-04
500000065,30,HT-1060,10.71,9,1.71,I,1,2014-12-04
500000065,40,HT-1061,24.99,21,3.99,I,3,2014-12-04
500000065,50,HT-1062,26.18,22,4.18,I,2,2014-12-04
500000065,60,HT-1063,16.66,14,2.66,I,1,2014-12-04
500000065,70,HT-1064,38.08,32,6.08,I,2,2014-12-04
500000065,80,HT-1065,92.82,78,14.82,I,3,2014-12-04
500000065,90,HT-1066,5.95,5,0.95,I,2,2014-12-04
500000066,10,HT-1067,8.33,7,1.33,I,2,2014-12-04
500000066,20,HT-1068,4.17,3.5,0.67,I,1,2014-12-04
500000066,30,HT-1069,1904,1600,304,I,2,2014-12-04
500000067,10,HT-1100,106.98,89.9,17.08,I,1,2014-12-04
500000067,20,HT-1107,71.16,59.8,11.36,I,2,2014-12-04
500000068,10,HT-1100,320.94,269.7,51.24,I,3,2014-12-04
500000068,20,HT-1101,285.24,239.7,45.54,I,3,2014-12-04
500000068,30,HT-1102,82.11,69,13.11,I,1,2014-12-04
500000068,40,HT-1103,183.26,154,29.26,I,2,2014-12-04
500000069,10,HT-1070,253.11,212.7,40.41,I,3,2014-12-04
