SALESORDERID,CREATEDAT,CHANGEDAT,CUSTOMERID,GROSSAMOUNT,NETAMOUNT,TAXAMOUNT,LIFECYCLESTATUS,BILLINGSTATUS,DELIVERYSTATUS
500000096,2014-04-06,2014-04-20,100000025,114.24,96,18.24,C,P,D
500000097,2014-04-07,2014-04-21,100000021,521.22,438,83.22,P,P,D
500000098,2014-04-08,2014-04-22,100000024,411.5,345.8,65.7,C,P,D
500000099,2014-04-09,2014-04-23,100000022,11379.97,9563,1816.97,X,I,I
500000100,2014-04-10,2014-04-24,100000012,26581.03,22337,4244.03,X,I,I
500000101,2014-04-11,2014-04-25,100000011,9417.66,7914,1503.66,X,I,I
500000102,2014-04-12,2014-04-26,100000015,5631.08,4732,899.08,P,I,I
500000103,2014-04-13,2014-04-27,100000013,1405.39,1181,224.39,N,I,I
500000104,2014-04-14,2014-04-28,100000013,761.24,639.7,121.54,C,P,D
500000105,2014-04-15,2014-04-29,100000014,101299.22,85125.4,16173.82,X,I,I
500000106,2014-04-16,2014-04-30,100000016,250.73,210.7,40.03,C,P,D
500000107,2014-04-17,2014-05-01,100000017,10549.35,8865,1684.35,C,P,D
500000108,2014-04-18,2014-05-02,100000018,195.16,164,31.16,P,I,D
500000109,2014-04-19,2014-05-03,100000012,3972.22,3338,634.22,P,I,I
500000110,2014-04-20,2014-05-04,100000011,3598.92,3024.3,574.62,P,I,D
500000111,2014-04-21,2014-05-05,100000017,325.94,273.9,52.04,N,I,I
500000112,2014-04-22,2014-05-06,100000015,24395,20500,3895,X,I,I
500000113,2014-04-23,2014-05-07,100000013,5527.55,4645,882.55,N,I,I
500000114,2014-04-24,2014-05-08,100000013,3459.33,2907,552.33,X,I,I
500000115,2014-04-25,2014-05-09,100000014,852.04,716,136.04,P,I,I
500000116,2014-04-26,2014-05-10,100000017,1916.5,1610.5,306,N,I,I
500000117,2014-04-27,2014-05-11,100000015,178.14,149.7,28.44,P,P,D
500000118,2014-04-28,2014-05-12,100000011,871.55,732.4,139.15,P,I,D
500000119,2014-04-29,2014-05-13,100000018,1028.15,864,164.15,N,I,I
500000120,2014-04-30,2014-05-14,100000012,5523.38,4641.5,881.88,X,I,I
500000121,2014-05-01,2014-05-15,100000011,187.54,157.6,29.94,X,I,I
500000122,2014-05-02,2014-05-16,100000013,521.22,438,83.22,N,I,I
500000123,2014-05-03,2014-05-17,100000014,411.5,345.8,65.7,X,I,I
500000124,2014-05-04,2014-05-18,100000015,11552.52,9708,1844.52,C,P,D
500000125,2014-05-05,2014-05-19,100000016,26581.03,22337,4244.03,C,P,D
500000126,2014-05-06,2014-05-20,100000016,9417.66,7914,1503.66,C,P,D
500000127,2014-05-07,2014-05-21,100000016,5631.08,4732,899.08,C,P,D
500000128,2014-05-08,2014-05-22,100000014,1405.39,1181,224.39,X,I,I
500000129,2014-05-09,2014-05-23,100000017,761.24,639.7,121.54,C,P,D
500000130,2014-05-10,2014-05-24,100000013,101299.22,85125.4,16173.82,C,P,D
500000131,2014-05-11,2014-05-25,100000017,250.73,210.7,40.03,P,P,D
500000132,2014-05-12,2014-05-26,100000013,10549.35,8865,1684.35,P,I,D
500000133,2014-05-13,2014-05-27,100000018,195.16,164,31.16,C,P,D
500000134,2014-05-14,2014-05-28,100000012,107100,90000,17100,P,P,I
500000135,2014-05-15,2014-05-29,100000011,4415.73,3710.7,705.03,N,I,I
500000136,2014-05-16,2014-05-30,100000016,325.94,273.9,52.04,X,I,I
500000137,2014-05-17,2014-05-31,100000015,24220.07,20353,3867.07,P,I,D
500000138,2014-05-18,2014-06-01,100000013,4499.87,3781.4,718.47,C,P,D
500000139,2014-05-19,2014-06-02,100000013,2727.24,2291.8,435.44,P,P,D
500000140,2014-05-20,2014-06-03,100000014,530.62,445.9,84.72,C,P,D
500000141,2014-05-21,2014-06-04,100000017,803.25,675,128.25,P,I,I
500000142,2014-05-22,2014-06-05,100000011,178.14,149.7,28.44,P,I,D
500000143,2014-05-23,2014-06-06,100000015,871.55,732.4,139.15,P,P,I
500000144,2014-05-24,2014-06-07,100000018,6543.8,5499,1044.8,X,I,I
500000145,2014-05-25,2014-06-08,100000012,113032.74,94985.5,18047.24,P,I,D
500000146,2014-05-26,2014-06-09,100000011,114.24,96,18.24,P,P,I
500000147,2014-05-27,2014-06-10,100000014,521.22,438,83.22,N,I,I
500000148,2014-05-28,2014-06-11,100000013,411.5,345.8,65.7,C,P,D
500000149,2014-05-29,2014-06-12,100000015,11379.97,9563,1816.97,C,P,D
500000150,2014-05-30,2014-06-13,100000028,26581.03,22337,4244.03,P,P,I
500000151,2014-05-31,2014-06-14,100000030,9417.66,7914,1503.66,C,P,D
500000152,2014-06-01,2014-06-15,100000031,5631.08,4732,899.08,N,I,I
500000153,2014-06-02,2014-06-16,100000032,1405.39,1181,224.39,N,I,I
500000154,2014-06-03,2014-06-17,100000032,761.24,639.7,121.54,C,P,D
500000155,2014-06-04,2014-06-18,100000033,101299.22,85125.4,16173.82,C,P,D
500000156,2014-06-05,2014-06-19,100000034,250.73,210.7,40.03,X,I,I
500000157,2014-06-06,2014-06-20,100000035,10549.35,8865,1684.35,X,I,I
500000158,2014-06-07,2014-06-21,100000027,195.16,164,31.16,X,I,I
500000159,2014-06-08,2014-06-22,100000028,3972.22,3338,634.22,P,I,I
500000160,2014-06-09,2014-06-23,100000030,3598.92,3024.3,574.62,X,I,I
500000161,2014-06-10,2014-06-24,100000035,325.94,273.9,52.04,X,I,I
500000162,2014-06-11,2014-06-25,100000031,24395,20500,3895,P,P,I
500000163,2014-06-12,2014-06-26,100000032,5527.55,4645,882.55,C,P,D
500000164,2014-06-13,2014-06-27,100000032,3459.33,2907,552.33,X,I,I
500000165,2014-06-14,2014-06-28,100000033,852.04,716,136.04,X,I,I
500000166,2014-06-15,2014-06-29,100000035,1916.5,1610.5,306,C,P,D
500000167,2014-06-16,2014-06-30,100000031,178.14,149.7,28.44,X,I,I
500000168,2014-06-17,2014-07-01,100000030,871.55,732.4,139.15,N,I,I
500000169,2014-06-18,2014-07-02,100000027,1028.15,864,164.15,N,I,I
500000170,2014-06-19,2014-07-03,100000028,5523.38,4641.5,881.88,C,P,D
500000171,2014-06-20,2014-07-04,100000030,187.54,157.6,29.94,X,I,I
500000172,2014-06-21,2014-07-05,100000032,521.22,438,83.22,P,P,I
500000173,2014-06-22,2014-07-06,100000033,411.5,345.8,65.7,X,I,I
500000174,2014-06-23,2014-07-07,100000031,11552.52,9708,1844.52,C,P,D
500000175,2014-06-24,2014-07-08,100000034,26581.03,22337,4244.03,N,I,I
500000176,2014-06-25,2014-07-09,100000034,9417.66,7914,1503.66,C,P,D
500000177,2014-06-26,2014-07-10,100000034,5631.08,4732,899.08,C,P,D
500000178,2014-06-27,2014-07-11,100000033,1405.39,1181,224.39,P,I,D
500000179,2014-06-28,2014-07-12,100000035,761.24,639.7,121.54,C,P,D
500000180,2014-06-29,2014-07-13,100000032,101299.22,85125.4,16173.82,X,I,I
500000181,2014-06-30,2014-07-14,100000035,250.73,210.7,40.03,C,P,D
500000182,2014-07-01,2014-07-15,100000032,10549.35,8865,1684.35,X,I,I
500000183,2014-07-02,2014-07-16,100000027,195.16,164,31.16,P,I,I
500000184,2014-07-03,2014-07-17,100000028,107100,90000,17100,P,P,D
500000185,2014-07-04,2014-07-18,100000030,4415.73,3710.7,705.03,C,P,D
500000186,2014-07-05,2014-07-19,100000034,325.94,273.9,52.04,N,I,I
500000187,2014-07-06,2014-07-20,100000031,24220.07,20353,3867.07,P,P,I
500000188,2014-07-07,2014-07-21,100000032,4499.87,3781.4,718.47,P,I,D
500000189,2014-07-08,2014-07-22,100000032,2727.24,2291.8,435.44,N,I,I
500000190,2014-07-09,2014-07-23,100000033,530.62,445.9,84.72,P,I,I
500000191,2014-07-10,2014-07-24,100000035,803.25,675,128.25,C,P,D
500000192,2014-07-11,2014-07-25,100000030,178.14,149.7,28.44,P,P,D
500000193,2014-07-12,2014-07-26,100000031,871.55,732.4,139.15,X,I,I
500000194,2014-07-13,2014-07-27,100000027,6543.8,5499,1044.8,C,P,D
500000195,2014-07-14,2014-07-28,100000028,113032.74,94985.5,18047.24,N,I,I
500000196,2014-07-15,2014-07-29,100000030,114.24,96,18.24,C,P,D
500000197,2014-07-16,2014-07-30,100000033,521.22,438,83.22,X,I,I
500000198,2014-07-17,2014-07-31,100000032,411.5,345.8,65.7,P,P,I
500000199,2014-07-18,2014-08-01,100000031,11379.97,9563,1816.97,X,I,I
500000200,2014-07-19,2014-08-02,100000044,26581.03,22337,4244.03,N,I,I
500000201,2014-07-20,2014-08-03,100000036,9417.66,7914,1503.66,N,I,I
500000202,2014-07-21,2014-08-04,100000038,5631.08,4732,899.08,X,I,I
500000203,2014-07-22,2014-08-05,100000037,1405.39,1181,224.39,C,P,D
500000204,2014-07-23,2014-08-06,100000037,761.24,639.7,121.54,P,P,I
500000205,2014-07-24,2014-08-07,100000042,101299.22,85125.4,16173.82,C,P,D
500000206,2014-07-25,2014-08-08,100000044,250.73,210.7,40.03,C,P,D
500000207,2014-07-26,2014-08-09,100000041,10549.35,8865,1684.35,P,P,I
500000208,2014-07-27,2014-08-10,100000043,195.16,164,31.16,P,I,I
500000209,2014-07-28,2014-08-11,100000044,3972.22,3338,634.22,C,P,D
500000210,2014-07-29,2014-08-12,100000036,3598.92,3024.3,574.62,C,P,D
500000211,2014-07-30,2014-08-13,100000041,325.94,273.9,52.04,X,I,I
500000212,2014-07-31,2014-08-14,100000038,24395,20500,3895,C,P,D
500000213,2014-08-01,2014-08-15,100000037,5527.55,4645,882.55,P,I,I
500000214,2014-08-02,2014-08-16,100000037,3459.33,2907,552.33,P,P,D
500000215,2014-08-03,2014-08-17,100000042,852.04,716,136.04,X,I,I
500000216,2014-08-04,2014-08-18,100000041,1916.5,1610.5,306,N,I,I
500000217,2014-08-05,2014-08-19,100000038,178.14,149.7,28.44,X,I,I
500000218,2014-08-06,2014-08-20,100000036,871.55,732.4,139.15,N,I,I
500000219,2014-08-07,2014-08-21,100000043,1028.15,864,164.15,P,I,I
500000220,2014-08-08,2014-08-22,100000044,5523.38,4641.5,881.88,P,I,I
500000221,2014-08-09,2014-08-23,100000036,187.54,157.6,29.94,N,I,I
500000222,2014-08-10,2014-08-24,100000037,521.22,438,83.22,X,I,I
500000223,2014-08-11,2014-08-25,100000042,411.5,345.8,65.7,N,I,I
500000224,2014-08-12,2014-08-26,100000038,11552.52,9708,1844.52,C,P,D
500000225,2014-08-13,2014-08-27,100000044,26581.03,22337,4244.03,X,I,I
500000226,2014-08-14,2014-08-28,100000044,9417.66,7914,1503.66,N,I,I
500000227,2014-08-15,2014-08-29,100000044,5631.08,4732,899.08,X,I,I
500000228,2014-08-16,2014-08-30,100000042,1405.39,1181,224.39,C,P,D
500000229,2014-08-17,2014-08-31,100000041,761.24,639.7,121.54,N,I,I
500000230,2014-08-18,2014-09-01,100000037,101299.22,85125.4,16173.82,X,I,I
500000231,2014-08-19,2014-09-02,100000041,250.73,210.7,40.03,N,I,I
500000232,2014-08-20,2014-09-03,100000037,10549.35,8865,1684.35,N,I,I
500000233,2014-08-21,2014-09-04,100000043,195.16,164,31.16,C,P,D
500000234,2014-08-22,2014-09-05,100000044,107100,90000,17100,X,I,I
500000235,2014-08-23,2014-09-06,100000036,4415.73,3710.7,705.03,N,I,I
500000236,2014-08-24,2014-09-07,100000044,325.94,273.9,52.04,N,I,I
500000237,2014-08-25,2014-09-08,100000038,24220.07,20353,3867.07,C,P,D
500000238,2014-08-26,2014-09-09,100000037,4499.87,3781.4,718.47,P,P,I
500000239,2014-08-27,2014-09-10,100000037,2727.24,2291.8,435.44,P,I,D
500000240,2014-08-28,2014-09-11,100000042,530.62,445.9,84.72,X,I,I
500000241,2014-08-29,2014-09-12,100000041,803.25,675,128.25,P,I,D
500000242,2014-08-30,2014-09-13,100000036,178.14,149.7,28.44,N,I,I
500000243,2014-08-31,2014-09-14,100000038,871.55,732.4,139.15,X,I,I
500000244,2014-09-01,2014-09-15,100000043,6543.8,5499,1044.8,X,I,I
500000245,2014-09-02,2014-09-16,100000044,113032.74,94985.5,18047.24,X,I,I
500000246,2014-09-03,2014-09-17,100000036,114.24,96,18.24,N,I,I
500000247,2014-09-04,2014-09-18,100000042,521.22,438,83.22,P,I,D
500000248,2014-09-05,2014-09-19,100000037,411.5,345.8,65.7,X,I,I
500000249,2014-09-06,2014-09-20,100000038,11379.97,9563,1816.97,C,P,D
500000250,2014-09-07,2014-09-21,100000000,26581.03,22337,4244.03,N,I,I
500000251,2014-09-08,2014-09-22,100000002,9417.66,7914,1503.66,C,P,D
500000252,2014-09-09,2014-09-23,100000005,5631.08,4732,899.08,N,I,I
500000253,2014-09-10,2014-09-24,100000006,1405.39,1181,224.39,C,P,D
500000254,2014-09-11,2014-09-25,100000006,761.24,639.7,121.54,X,I,I
500000255,2014-09-12,2014-09-26,100000008,101299.22,85125.4,16173.82,C,P,D
500000256,2014-09-13,2014-09-27,100000003,250.73,210.7,40.03,N,I,I
500000257,2014-09-14,2014-09-28,100000004,10549.35,8865,1684.35,P,I,D
500000258,2014-09-15,2014-09-29,100000009,195.16,164,31.16,C,P,D
500000259,2014-09-16,2014-09-30,100000000,3972.22,3338,634.22,X,I,I
500000260,2014-09-17,2014-10-01,100000002,3598.92,3024.3,574.62,C,P,D
500000261,2014-09-18,2014-10-02,100000004,325.94,273.9,52.04,C,P,D
500000262,2014-09-19,2014-10-03,100000005,24395,20500,3895,X,I,I
500000263,2014-09-20,2014-10-04,100000006,5527.55,4645,882.55,X,I,I
500000264,2014-09-21,2014-10-05,100000006,3459.33,2907,552.33,X,I,I
500000265,2014-09-22,2014-10-06,100000008,852.04,716,136.04,P,P,I
500000266,2014-09-23,2014-10-07,100000004,1916.5,1610.5,306,P,P,D
500000267,2014-09-24,2014-10-08,100000005,178.14,149.7,28.44,P,P,I
500000268,2014-09-25,2014-10-09,100000002,871.55,732.4,139.15,P,P,I
500000269,2014-09-26,2014-10-10,100000009,1028.15,864,164.15,X,I,I
500000270,2014-09-27,2014-10-11,100000000,5523.38,4641.5,881.88,X,I,I
500000271,2014-09-28,2014-10-12,100000002,187.54,157.6,29.94,P,P,D
500000272,2014-09-29,2014-10-13,100000006,521.22,438,83.22,C,P,D
500000273,2014-09-30,2014-10-14,100000008,411.5,345.8,65.7,P,P,D
500000274,2014-10-01,2014-10-15,100000005,11552.52,9708,1844.52,C,P,D
500000275,2014-10-02,2014-10-16,100000003,26581.03,22337,4244.03,N,I,I
500000276,2014-10-03,2014-10-17,100000003,9417.66,7914,1503.66,C,P,D
500000277,2014-10-04,2014-10-18,100000003,5631.08,4732,899.08,P,I,I
500000278,2014-10-05,2014-10-19,100000008,1405.39,1181,224.39,P,P,D
500000279,2014-10-06,2014-10-20,100000004,761.24,639.7,121.54,P,P,I
500000280,2014-10-07,2014-10-21,100000006,101299.22,85125.4,16173.82,P,I,I
500000281,2014-10-08,2014-10-22,100000004,250.73,210.7,40.03,C,P,D
500000282,2014-10-09,2014-10-23,100000006,10549.35,8865,1684.35,X,I,I
500000283,2014-10-10,2014-10-24,100000009,195.16,164,31.16,N,I,I
500000284,2014-10-11,2014-10-25,100000000,107100,90000,17100,P,P,I
500000285,2014-10-12,2014-10-26,100000002,4415.73,3710.7,705.03,P,I,I
500000286,2014-10-13,2014-10-27,100000003,325.94,273.9,52.04,C,P,D
500000287,2014-10-14,2014-10-28,100000005,24220.07,20353,3867.07,N,I,I
500000288,2014-10-15,2014-10-29,100000006,4499.87,3781.4,718.47,P,P,D
500000289,2014-10-16,2014-10-30,100000006,2727.24,2291.8,435.44,N,I,I
500000290,2014-10-17,2014-10-31,100000008,530.62,445.9,84.72,N,I,I
500000291,2014-10-18,2014-11-01,100000004,803.25,675,128.25,C,P,D
500000292,2014-10-19,2014-11-02,100000002,178.14,149.7,28.44,N,I,I
500000293,2014-10-20,2014-11-03,100000005,871.55,732.4,139.15,X,I,I
500000294,2014-10-21,2014-11-04,100000009,6543.8,5499,1044.8,N,I,I
500000295,2014-10-22,2014-11-05,100000000,113032.74,94985.5,18047.24,X,I,I
500000296,2014-10-23,2014-11-06,100000002,114.24,96,18.24,N,I,I
500000297,2014-10-24,2014-11-07,100000008,521.22,438,83.22,X,I,I
500000298,2014-10-25,2014-11-08,100000006,411.5,345.8,65.7,X,I,I
500000299,2014-10-26,2014-11-09,100000005,11379.97,9563,1816.97,C,P,D
500000300,2014-10-27,2014-11-10,100000026,26581.03,22337,4244.03,X,I,I
500000301,2014-10-28,2014-11-11,100000025,9417.66,7914,1503.66,P,I,I
500000302,2014-10-29,2014-11-12,100000022,5631.08,4732,899.08,N,I,I
500000303,2014-10-30,2014-11-13,100000024,1405.39,1181,224.39,C,P,D
500000304,2014-10-31,2014-11-14,100000024,761.24,639.7,121.54,X,I,I
500000305,2014-11-01,2014-11-15,100000021,101299.22,85125.4,16173.82,N,I,I
500000306,2014-11-02,2014-11-16,100000023,250.73,210.7,40.03,N,I,I
500000307,2014-11-03,2014-11-17,100000019,10549.35,8865,1684.35,X,I,I
500000308,2014-11-04,2014-11-18,100000026,195.16,164,31.16,N,I,I
500000309,2014-11-05,2014-11-19,100000026,3972.22,3338,634.22,P,I,D
500000310,2014-11-06,2014-11-20,100000025,3598.92,3024.3,574.62,X,I,I
500000311,2014-11-07,2014-11-21,100000019,325.94,273.9,52.04,C,P,D
500000312,2014-11-08,2014-11-22,100000022,24395,20500,3895,C,P,D
500000313,2014-11-09,2014-11-23,100000024,5527.55,4645,882.55,P,P,I
500000314,2014-11-10,2014-11-24,100000024,3459.33,2907,552.33,C,P,D
500000315,2014-11-11,2014-11-25,100000021,852.04,716,136.04,X,I,I
500000316,2014-11-12,2014-11-26,100000019,1916.5,1610.5,306,X,I,I
500000317,2014-11-13,2014-11-27,100000022,178.14,149.7,28.44,X,I,I
500000318,2014-11-14,2014-11-28,100000025,871.55,732.4,139.15,C,P,D
500000319,2014-11-15,2014-11-29,100000026,1028.15,864,164.15,X,I,I
500000320,2014-11-16,2014-11-30,100000026,5523.38,4641.5,881.88,X,I,I
500000321,2014-11-17,2014-12-01,100000025,187.54,157.6,29.94,P,I,I
500000322,2014-11-18,2014-12-02,100000024,521.22,438,83.22,P,P,D
500000323,2014-11-19,2014-12-03,100000021,411.5,345.8,65.7,N,I,I
500000324,2014-11-20,2014-12-04,100000022,11552.52,9708,1844.52,P,I,I
500000325,2014-11-21,2014-12-05,100000023,26581.03,22337,4244.03,P,P,I
500000326,2014-11-22,2014-12-06,100000023,9417.66,7914,1503.66,N,I,I
500000327,2014-11-23,2014-12-07,100000023,5631.08,4732,899.08,C,P,D
500000328,2014-11-24,2014-12-08,100000021,1405.39,1181,224.39,P,I,D
500000329,2014-11-25,2014-12-09,100000019,761.24,639.7,121.54,C,P,D
500000330,2014-11-26,2014-12-10,100000024,101299.22,85125.4,16173.82,P,P,D
500000331,2014-11-27,2014-12-11,100000019,250.73,210.7,40.03,N,I,I
500000332,2014-11-28,2014-12-12,100000024,10549.35,8865,1684.35,X,I,I
500000333,2014-11-29,2014-12-13,100000026,195.16,164,31.16,P,I,I
500000334,2014-11-30,2014-12-14,100000026,107100,90000,17100,X,I,I
500000335,2014-12-01,2014-12-15,100000025,4415.73,3710.7,705.03,X,I,I
500000336,2014-12-02,2014-12-16,100000023,325.94,273.9,52.04,C,P,D
500000337,2014-12-03,2014-12-17,100000022,24220.07,20353,3867.07,C,P,D
500000338,2014-12-04,2014-12-18,100000024,4499.87,3781.4,718.47,X,I,I
500000339,2014-12-05,2014-12-19,100000024,2727.24,2291.8,435.44,N,I,I
500000340,2014-12-06,2014-12-20,100000021,530.62,445.9,84.72,X,I,I
500000341,2014-12-07,2014-12-21,100000019,803.25,675,128.25,N,I,I
500000342,2014-12-08,2014-12-22,100000025,178.14,149.7,28.44,C,P,D
